"";"country";"reach";"employment";"temp_contract";"autonomy_selection";"autonomy_emphasis";"ethics_1";"ethics_2";"ethics_3";"ethics_4";"work_experience";"trust_parliament";"trust_government";"trust_parties";"trust_politicians"
"1";"Germany";"National";"Full-time";"Permanent";5;4;2;3;2;1;10;3;3;3;3
"2";"Germany";"National";"Full-time";"Permanent";3;4;1;2;2;1;7;4;4;3;3
"3";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;4;2;1;6;4;4;3;3
"4";"Switzerland";"Local";"Part-time";"Permanent";4;5;1;3;1;2;7;4;4;3;3
"5";"Austria";"National";"Part-time";"Permanent";4;4;2;3;2;1;15;3;2;2;2
"6";"Switzerland";"Local";"Freelancer";NA;4;4;2;4;4;3;27;4;4;3;2
"7";"Germany";"Local";"Full-time";"Permanent";4;4;1;3;2;2;24;2;1;3;2
"8";"Denmark";"National";"Full-time";"Permanent";3;3;2;4;4;4;11;4;3;3;3
"9";"Switzerland";"Local";"Full-time";"Permanent";5;5;1;2;1;3;25;1;1;1;1
"10";"Denmark";"National";"Full-time";"Permanent";2;4;1;4;4;4;4;3;3;3;3
"11";"Austria";"Local";"Full-time";"Permanent";5;5;1;1;2;1;8;3;2;2;2
"12";"Denmark";"National";"Freelancer";NA;4;4;2;4;2;4;25;3;3;3;3
"13";"UK";"Regional";"Full-time";"Permanent";3;4;1;2;4;2;10;3;2;2;2
"14";"UK";"Transnational";"Full-time";"Permanent";4;5;2;4;4;4;5;3;2;2;2
"15";"Austria";"National";"Full-time";"Permanent";3;3;1;4;4;4;23;3;2;2;1
"16";"Denmark";"National";"Freelancer";NA;5;5;3;4;3;3;25;4;2;3;3
"17";"UK";"Transnational";"Full-time";"Permanent";4;4;1;4;2;3;11;2;3;2;2
"18";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;4;3;4;8;3;3;3;3
"19";"Switzerland";"National";"Part-time";"Permanent";4;4;1;1;1;2;32;3;4;3;3
"20";"Denmark";"National";"Full-time";"Permanent";4;4;1;4;2;5;21;3;3;2;3
"21";"Switzerland";"Regional";"Full-time";"Permanent";3;4;1;1;2;1;13;3;3;3;3
"22";"Denmark";"National";"Full-time";"Permanent";3;2;1;2;3;4;19;2;2;2;2
"23";"Denmark";"National";"Full-time";"Permanent";2;3;2;4;4;4;9;3;3;2;3
"24";"UK";"Transnational";"Freelancer";NA;4;4;1;3;3;4;29;4;4;4;4
"25";"Austria";"National";"Full-time";"Permanent";4;4;1;3;2;1;30;3;3;2;2
"26";"Germany";"Local";"Full-time";"Permanent";5;5;1;4;2;3;20;4;3;4;3
"27";"Germany";"Regional";"Freelancer";NA;2;4;1;4;1;1;20;3;3;1;2
